comment,antagonize,antagonize:confidence,condescending,condescending:confidence,dismissive,dismissive:confidence,hostile,hostile:confidence,sarcastic,sarcastic:confidence
Bottom feeders ? It takes one to know one.,1,0.7591,1,1.0,1,0.7591,1,0.7591,1,0.7517
I hate the pope already,1,0.7906,0,1.0,0,0.6019,0,0.6019,0,1.0
"What's stupid is politicizing this, dumaz.",1,1.0,1,1.0,1,1.0,1,1.0,0,1.0
"Yeah, nothing like innocent until proven guilty - you are some piece of work, AB.",1,0.8023,1,0.604,1,0.604,1,0.604,1,0.8017
'...the gay community tries to hijack every opportunity to promote their deranged lifestyle.'-expatdudeYou'd prefer they promoted Ford's deranged lifestyle instead?,1,0.6186,0,0.8140000000000001,0,0.8140000000000001,0,0.7907,0,0.8140000000000001
"Hilliary's first act if she would ever be 'elected', would be an Executive Order to burn all ballots within an hour after her rigged results are announced, just previous Dems like Lyndon Johnson did.",1,0.6033,0,0.8147,0,0.8061,0,0.6078,0,0.8061
"The writer had a point, you do not. Your dragging out the old standby ""mysoginist"" sinks to a level of personal name calling.",1,0.6042,1,0.7837,0,0.6297,0,0.8092,0,0.8092
Little rich given that the Libs appointed Alfonso Gagliano as Ambassador to Denmark and uncle Jean gave the Washington job to his nephew.,1,0.6051,1,0.6051,1,0.6051,1,0.6051,1,0.6096
"PET adored the murdering gangster, Castro.",1,0.8037,0,0.6022,0,0.8073,0,0.6042,0,1.0
Literally the dumbest shit I've read in decades.,1,0.8492,1,0.6404,1,0.8843,1,0.8416,0,0.9624
"Long hair and jeans? What are you, a 1960s high school principal?",1,0.7968,0,0.8076,0,0.8076,0,1.0,1,0.8076
"Always the classless winner Rocky. Enjoy it while it lasts. Meantime, I will head back to my abode with the 2 state-paid maids to look after the rugrats. Liberal entitlements are BACK.",1,0.6051,0,0.6011,0,0.6089,0,0.8065,1,1.0
"The possibility is still very real, nosense.'NEVER underestimate the power of human stupidity.' -Robt. A. Heinlein",1,0.7993,1,0.7929999999999999,1,0.6075,0,1.0,0,0.8083
"""From what I read, the vast majority are left alone."" I.DON'T.THINK.SO, madame! Try reading something else besides Alex Jones",1,0.8073,1,0.7959999999999999,1,0.6165,1,0.8073,0,0.6132
"So the daughter should be judged by the sins of the father? Hmmm.How far do you want to carry that principle? England, in years gone by, plundered the world, therefore, any thought from an English brain has No credibility.",1,1.0,1,0.7962,0,0.607,0,0.792,0,0.8049
"The Daesh recuiter screw, 'She tells them that the hardest part is leaving home' No, the hardest part starts when you get to 'Caliphate'. Have fun tossing your life away idi0ts.....",1,0.8075,0,0.614,1,0.8001,1,0.6075,0,0.614
And your post is filled with the same old whining from the wannabes.,1,0.8022,1,0.6044,1,0.6044,0,0.7873,0,0.6093
or that other left-wing Canadian senator with the much younger bimbo wife who threatened to kill him during an alcohol-fuelled rage... not the type of mile-high action he was hoping for,1,0.6726,1,0.8388,1,0.6726,1,0.8388,1,0.8338
That was a stupid comment!!! Canada's middle class is better than the USA NOW!!! Unions and there pensions are driving provinces BROKE!!!!!,1,0.8240000000000001,1,0.6652,1,0.6571,1,0.8240000000000001,0,1.0
Good Article. Even though it has hit a nerve with some of the G&M crazies ............,1,0.6953,0,0.8639,0,0.7332,0,0.716,0,0.8639
Even small puddles are not as shallow as the Leahlime post !,1,0.7918,1,0.7918,1,0.7918,0,0.6166,1,0.797
"Sad, liberals pandering to a surname and a thick head of hair.",1,1.0,1,1.0,0,1.0,1,1.0,0,1.0
skyofblue Yawn. Get a life. All those narcotics can't be good for you.,1,1.0,1,0.8069,1,0.6086,1,0.8083,0,0.7817
See how valuable an education is? Now you're able to accurately describe the poverty you find yourself in.,1,0.6532,1,0.6532,1,0.6532,0,0.6766,1,0.6634
Or the incompetents that are running the liberal party now.,1,0.7654,0,1.0,0,1.0,1,0.7654,0,1.0
There should be a law for posting on the internet the same as driving a car. If I have to read another one of these uninformed posts from a naive 15 year old on their lunch break I'd go ask my neice. ,1,0.7624,1,0.9634,1,0.8046,0,0.7621,0,0.9603
"Listen up, Buster. Women's issues are everyone's issues. Quit playing the victimization card that you seem to despise so much.",1,0.8284,1,0.6602,1,0.6602,0,0.6804,0,0.6724
What drivel! What's the color of the sky in your world?,1,0.6029,1,0.6029,1,0.6029,0,0.6035,1,0.6029
you seem like a real likeable guy! No wonder your mum abandoned you at birth,1,0.8885,0,0.7211,0,0.8041,1,0.8866,1,0.92
Glossing over is one of Peggy's main things.,1,0.6001,0,0.6023,0,0.7945,0,0.7945,0,0.6167
Almost none of it is fact. It's just a laundry list of what the loony right would like to believe.,1,0.8306,0,0.8306,1,0.6708,0,0.6557,0,0.8306
"Come to Ontario - we had 10 years of McGuinty and the Libs and now we have Wynne - more lying, incompetence and waste. I will take Harper and the Conservatives anytime!",1,1.0,0,0.8043,0,0.8043,0,0.8085,0,1.0
"Seems to me that you could benefit from a remedial reading class if you think this article is about the editors. The description of the Conservatives is accurate, and the warnings realistic.",1,0.631,1,0.631,0,0.7923,0,0.8013,0,1.0
Another right wing nut job trying to make decisions on what I do with my body and how I manage my pain. I'm so glad you and your ilk are not in control anymore.,1,0.6002,0,0.7929,0,1.0,1,0.6002,0,0.8092
"lol ... to the sanctimonious, give them shelter in your house.",1,0.6029,1,0.6029,1,0.6029,0,0.6196,1,0.7959999999999999
"Trump, illiterate?? Can't beWarning - language is NSFWhttps://www.youtube.com/watch?v=7LFkN7QGp2c",1,0.6022,0,0.7924,0,0.7924,0,1.0,0,0.7924
"Lowest common denominator works for you Mr. Martin, up your game Sir.",1,0.8267,1,0.6679999999999999,1,0.6679999999999999,1,0.6679999999999999,1,0.6679999999999999
Don't remember you. Obviously no one cared what you said. ,1,0.713,1,0.8056,1,0.9639,1,0.63,0,0.7190000000000001
Your comment is nonsense!!!!Your only response is to change the subject?,1,0.6071,1,0.6152,1,0.8061,0,0.6152,0,1.0
"Oh dear Erika, ever on the alert to any perceived slight to the US and pretty much the only reason I have ever seen her post. Why bother reading a Canadian news site if you are so easily offended.",1,0.6019,0,0.7959,0,0.7959,0,0.8038,0,0.7984
I would absolutely run you over if I drove past you on my way to work,1,0.9556,0,0.8811,0,0.8401,1,1.0,0,0.9191
Troll and a boring Dolt to boot.,1,0.6027,0,0.6027,0,0.6027,0,0.7945,0,1.0
"Canada's damp, slightly dumb jewel. Like Lindsay Lohan in a car wash.",1,0.6115,0,0.7939,0,1.0,0,0.7939,0,1.0
No ... don't ... have more fries with that. Support Tim Horton's .... go for seconds and thirds .... then go lie down .... repeat all day every day until your heart stops. Thank you .. thank you very much.,1,0.6086,1,0.6134,0,0.7887,0,0.7887,1,0.8013
"And neither is living gay. If you're straight, could you live gay? No, it's not part of who you are. Why don't you try it? I always wonder if you deep, down homophobes are secretly wanting what you oppose so vehemently....",1,0.8055,0,0.6006,0,1.0,0,0.6006,0,0.7975
"You're puritanical as fuck, enjoy rotting in hell",1,1.0,1,0.6881,0,0.7824,1,1.0,1,0.6952
"With liberals like Hillary, who needs Republicans?",1,0.62,0,0.7977,0,0.7977,0,1.0,1,0.7846
Trillions? Get a grip! Even the most loony of the left wing moonbats doesn't claim those numbers.,1,1.0,0,0.7692,0,0.7692,1,1.0,0,1.0
Off the meds?,1,0.6052,1,1.0,1,0.6052,1,0.6052,1,0.7917
Another attempt by some moronic crusader to hijack this topic,1,1.0,1,1.0,1,0.7525,1,0.7525,0,1.0
"Instead of listening to sond bites given to you by the the lunatics in Harper's war room, listen to the entire conversations.",1,0.6029,1,0.6241,0,0.8016,0,0.8138,0,1.0
Anti-smite's are very active on the Left.,1,0.6089,0,0.8092,0,0.8092,0,0.8092,0,0.8092
Did you finish school? May had the 'wright' approach. Tell you what. In the future have your mommy check your work before you hit the post button. That way you do not make an idiot out of yourself.,1,0.9617,1,0.7188,1,0.7628,1,0.7244,0,0.7638
This is biggest pile of crap I've heard in a long time. I guess you justify anything in your own mind.,1,1.0,1,0.8373,1,1.0,1,1.0,0,0.6544
"dude, im a Conservative making an argument that the CPC will win the next two elections with majorities. Perhaps you comprehension of writing is an issue here. Reread the comment, and save yourself a little dignity.",1,0.8331,1,0.6652,1,0.8331,0,0.8439,0,0.6823
"Wow, those crazy dysfunctional Californians, eh? Why it's almost like they think they're in Ontario......",1,1.0,1,1.0,1,0.7924,1,0.8011,1,1.0
I think he looks like some kind of alien.,1,0.6101,0,1.0,0,1.0,0,0.7932,0,1.0
"nobody can speak on behalf of Canadians, so shut your trap.",1,0.8004,0,0.6124,1,0.6087,1,1.0,0,1.0
"stevie harper is a first con man and creep, second rate piano player and a third rate Prime Minister. I can even play piano and keyboards way better than steve. he stinks. Can he play Tony Bank's Cinema Show like a real keyboard player? I can!",1,0.6144,1,0.8101,1,0.8101,1,0.6144,0,0.6012
Maybe you shouldn't have dropped out of school in grade 8 then.,1,0.8344,1,0.8344,0,0.674,1,0.6595,0,0.674
"Once again little feller, the Iraqi, who requested air support, will supply the ground offensive. What is with you people? Are you selectively deaf or just intellectually challenged?",1,0.6052,1,0.6052,1,0.6052,0,0.8096,0,1.0
One of the longest produced newspapers in Canada should be sanctioned for allowing one article? You are being ridiculous. Its called freedom of the press.,1,0.6004,1,0.6004,1,0.8069,0,0.6063,0,0.7908
"Indeed, russia is a pretty pathetic case for a country. I've been there a number of times - miserable, unfriendly, uncouth people and third world living standards.",1,0.8445,0,0.7614,0,0.9227,1,0.7223,0,1.0
"It seems everyone who disagrees with a liberal is as you put it ' dregs, the finger pointers, the malcontent and above all the pitiful, malignant, murderous racists' You just described yourself. Very ironic.",1,1.0,1,0.8039,1,0.603,1,0.8083,0,1.0
A nice touch of irony from the poor beleaguered white guy victim.,1,1.0,1,1.0,1,0.78,1,0.8088,1,0.7973
The vocabulary fairy's two cents worth,1,0.6082,1,0.6082,0,0.6022,1,0.6082,1,0.8019
Because Oilbertan politicians like Ralph Clown and Fascist Steve are d*cks.,1,0.6146,0,0.7886,0,0.8017,1,1.0,0,0.8017
Don't gloat too much. He became the nominee because in their system they encourage non-party members to vote in the primaries as a means of recruiting members for the party - exactly the same idiotic system that our parties up here use.,1,1.0,0,1.0,0,1.0,1,1.0,0,1.0
"Infantile straw man argument, go back to playing with your big truck",1,0.9287,1,1.0,0,0.6976,0,0.7719,0,0.8905
"Ontario is and has always been the largest net contributor to Ottawa. You guys should check your facts. Link Byfield lied. This stuff my go down well down the Legion in Red Deer, but it's actually balderdash.",1,0.6147,1,0.8149,0,1.0,1,0.6147,0,0.8149
"What a remarkably crabby, small-minded little man you must be...",1,0.804,1,0.804,0,0.6095,1,0.804,0,0.8025
"Brilliant Freefroggy. Just brilliant. Don't address the issues, never mind the facts, just sneer at Liberals, as though you have a clue about anything. You obviously don't.",1,0.7946,1,1.0,1,0.6068,1,0.6068,1,0.7899
"http://everytown.org/mayors/ ..............mayors against gun violence. I don't understand why there is so much resistance in the States in keeping guns out of the hands of criminals, terrorist and the mentally ill.",1,0.6027,0,0.7997,0,1.0,0,0.6008,0,0.7997
Better fix your (tinfoil) hat,1,0.6098,1,0.6098,1,0.6098,0,0.7967,0,0.6032
Ahahaha! You are truly delusional.,1,0.812,1,0.6061,1,0.6061,1,0.8029999999999999,0,0.812
I didn't know journalism degrees come in crackerjack boxes. This girl no doubt got hired for her looks.,1,0.6689,1,0.8433,1,0.8433,1,0.6689,1,0.8433
Just being realistic. Arabs are not interested in peace with Jews. They are interestedin the eradication of Jews and the elimination of the Jewish state.,1,0.6006,0,0.8128,0,1.0,0,0.6087,0,1.0
As usual your silly partisanship clouds you from being able to see the larger picture.,1,1.0,0,1.0,0,1.0,0,0.6052,0,1.0
