comment,antagonize,antagonize:confidence,condescending,condescending:confidence,dismissive,dismissive:confidence,hostile,hostile:confidence,sarcastic,sarcastic:confidence
"The LEFT struggle with the TRUTH all the time. Furthermore, the 'D' in Democrat tells them to Deny, Deny, Deny, Distort and Destroy so it is very difficult for that type of Direction from the Democrats to be Disobeyed by their puppets.",1,0.586,0,0.78,0,0.7711,1,0.5856,0,0.8303
Bottom feeders ? It takes one to know one.,1,0.7591,1,1.0,1,0.7591,1,0.7591,1,0.7517
Too funny... Not to a bright-eyed 'know-a-good-thing-when-I-see-it) advertising agency Sales Director it ain't. Wouldn't be surprised if Bob from Calgary (Edmonton) got a call...,1,0.6089,0,0.593,0,0.593,0,0.7893,0,0.7893
I hate the pope already,1,0.7906,0,1.0,0,0.6019,0,0.6019,0,1.0
"@DC Toronto - whoops, my bad! Change comment to 'below Grade 8 reading level'...",1,0.7919,1,0.5885,1,0.595,0,0.6111,1,0.7919
"And Mike Harris the devil himself made Ontario a better place , huh Mr Naive . Hudak is just another family member of the snake himself",1,0.8124,0,0.594,0,0.594,0,0.5936,0,0.799
In other words the Harper Govt undermines regular Canadians and their secular politics by promoting narrow ethnic and religious issues mainly among immigrants in order to garner votes. Disgraceful!,1,0.5807,0,0.6153,0,0.6153,0,0.8140000000000001,0,1.0
"What's stupid is politicizing this, dumaz.",1,1.0,1,1.0,1,1.0,1,1.0,0,1.0
Funny that libs are complaining about the sarcasm in this article then come out in one angry mass and spew out sarcasm of their own directed at the writer who they accuse of being sarcastic. Typical liberal hypocrats.,1,0.6019,1,0.6051,0,0.5873,0,0.8107,0,0.7928
"""I have never seen the media work so hard to drag this tired hag across the finish line."" Your signature line. Cut and paste commentary. If I keep pointing that out am I trolling a troll?",1,0.5981,0,0.8044,0,0.8044,0,0.5962,0,0.8044
They must think we are stupid.,1,0.6083,0,1.0,0,1.0,0,0.5832,0,1.0
"Yeah, nothing like innocent until proven guilty - you are some piece of work, AB.",1,0.8023,1,0.604,1,0.604,1,0.604,1,0.8017
"Ideology and religions is what you should be referring too. Right wing has never been politically correct. But then again you have proven you're just as nutty as this article. Leah, is that you?",1,0.8714,1,0.7244,1,0.5671,1,0.8714,0,0.5878
You sound aggressive. Are you a cop?,1,0.5799,0,0.6983,0,0.8463,0,0.5738,1,0.5713
"monkey121 10:27 AM on April 16, 2013I do not like them Sam I Am 10:29 AM on April 16, 2013-------------------------------------You guys are worse liars than the politicians. You're self-deluded.",1,0.8027,0,0.5963,0,0.5963,0,0.6109,0,0.7973
Liberals want their gangs to go around and beat those who disagree with them... maybe they can wear shirts? How about brown shirts?,1,0.7252,0,0.858,0,0.7214,1,0.5713,1,0.5784
'...the gay community tries to hijack every opportunity to promote their deranged lifestyle.'-expatdudeYou'd prefer they promoted Ford's deranged lifestyle instead?,1,0.6186,0,0.8140000000000001,0,0.8140000000000001,0,0.7907,0,0.8140000000000001
"Oddly, I don't trust you.",1,0.5973,1,0.5973,0,0.6098,0,0.7929,0,1.0
