comment,antagonize,condescending,dismissive,hostile
Bottom feeders ? It takes one to know one.,1,1,1,1
I hate the pope already,1,0,0,0
"What's stupid is politicizing this, dumaz.",1,1,1,1
"Yeah, nothing like innocent until proven guilty - you are some piece of work, AB.",1,1,1,1
'...the gay community tries to hijack every opportunity to promote their deranged lifestyle.'-expatdudeYou'd prefer they promoted Ford's deranged lifestyle instead?,1,0,0,0
"Hilliary's first act if she would ever be 'elected', would be an Executive Order to burn all ballots within an hour after her rigged results are announced, just previous Dems like Lyndon Johnson did.",1,0,0,0
"The writer had a point, you do not. Your dragging out the old standby ""mysoginist"" sinks to a level of personal name calling.",1,1,0,0
Little rich given that the Libs appointed Alfonso Gagliano as Ambassador to Denmark and uncle Jean gave the Washington job to his nephew.,1,1,1,1
"PET adored the murdering gangster, Castro.",1,0,0,0
Literally the dumbest shit I've read in decades.,1,1,1,1
"Long hair and jeans? What are you, a 1960s high school principal?",1,0,0,0
"Always the classless winner Rocky. Enjoy it while it lasts. Meantime, I will head back to my abode with the 2 state-paid maids to look after the rugrats. Liberal entitlements are BACK.",1,0,0,0
"The possibility is still very real, nosense.'NEVER underestimate the power of human stupidity.' -Robt. A. Heinlein",1,1,1,0
"""From what I read, the vast majority are left alone."" I.DON'T.THINK.SO, madame! Try reading something else besides Alex Jones",1,1,1,1
"So the daughter should be judged by the sins of the father? Hmmm.How far do you want to carry that principle? England, in years gone by, plundered the world, therefore, any thought from an English brain has No credibility.",1,1,0,0
"The Daesh recuiter screw, 'She tells them that the hardest part is leaving home' No, the hardest part starts when you get to 'Caliphate'. Have fun tossing your life away idi0ts.....",1,0,1,1
And your post is filled with the same old whining from the wannabes.,1,1,1,0
or that other left-wing Canadian senator with the much younger bimbo wife who threatened to kill him during an alcohol-fuelled rage... not the type of mile-high action he was hoping for,1,1,1,1
That was a stupid comment!!! Canada's middle class is better than the USA NOW!!! Unions and there pensions are driving provinces BROKE!!!!!,1,1,1,1
Good Article. Even though it has hit a nerve with some of the G&M crazies ............,1,0,0,0
Even small puddles are not as shallow as the Leahlime post !,1,1,1,0
"Sad, liberals pandering to a surname and a thick head of hair.",1,1,0,1
skyofblue Yawn. Get a life. All those narcotics can't be good for you.,1,1,1,1
See how valuable an education is? Now you're able to accurately describe the poverty you find yourself in.,1,1,1,0
Or the incompetents that are running the liberal party now.,1,0,0,1
